[2025-12-14 00:53:37,899] WARNING - Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
[2025-12-14 00:53:37,924] INFO -  Successfully loaded Tokenizer :)
[2025-12-14 00:54:00,944] INFO - Texts have been converted to sequences :)
[2025-12-14 00:54:00,945] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:54:24,546] INFO - Texts have been converted to sequences :)
[2025-12-14 00:54:24,546] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:54:46,807] INFO - Texts have been converted to sequences :)
[2025-12-14 00:54:46,847] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:55:12,830] INFO - Texts have been converted to sequences :)
[2025-12-14 00:55:12,831] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:55:25,055] INFO - Texts have been converted to sequences :)
[2025-12-14 00:55:25,055] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:55:48,914] INFO - Texts have been converted to sequences :)
[2025-12-14 00:55:48,914] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:55:56,163] INFO - Texts have been converted to sequences :)
[2025-12-14 00:55:56,163] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:56:01,580] INFO - Texts have been converted to sequences :)
[2025-12-14 00:56:01,580] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:56:28,103] INFO - Texts have been converted to sequences :)
[2025-12-14 00:56:28,104] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:56:47,432] INFO - Texts have been converted to sequences :)
[2025-12-14 00:56:47,433] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:57:02,673] INFO - Texts have been converted to sequences :)
[2025-12-14 00:57:02,673] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:57:14,054] INFO - Texts have been converted to sequences :)
[2025-12-14 00:57:14,055] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:57:22,481] INFO - Texts have been converted to sequences :)
[2025-12-14 00:57:22,482] INFO - Sequenceses have been padded successfully :)
[2025-12-14 00:57:34,224] INFO - Texts have been converted to sequences :)
[2025-12-14 00:57:34,225] INFO - Sequenceses have been padded successfully :)
